_time,AP_channel,RSSI,bssid,channel_width,client_mode,client_name,client_opportunity_medium_use,distance_m,download_packet_loss,download_retrans,download_tcp_rtt_ms,jitter_ms,latency_ms,link_speed_mbps,local,mac,obstacles,radio,router_connected_time_sec,router_expected_throughput_mbps,router_noise,router_opportunity_medium_use,router_rx_bytes,router_rx_drop_misc,router_rx_duration_us,router_rx_packets,router_rx_rate_mbps,router_signal_avg_dbm,router_signal_dbm,router_snr,router_tx_bytes,router_tx_duration_us,router_tx_failed,router_tx_packets,router_tx_rate_mbps,router_tx_retries,signal_level,site_survey_same_channel_aps,site_survey_strongest_channel,site_survey_strongest_rssi,site_survey_strongest_ssid,site_survey_total_aps,speedtest_down_mbps,speedtest_up_mbps,ssid,stored_at,upload_packet_loss,upload_retrans,upload_tcp_rtt_ms
2026-05-30 21:55:47.373000+00:00,149,-26,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) plus,1,2.0,0.0013681095441532695,2896,24.335,4.888888888888889,23.27,433,sala,08:aa:55:1d:45:66,0,5ghz,16900,330.359,-92,3,259182003,1,6481259,194369,433.3,-45,-46,48,252782214,5587243,2202,204225,390.0,2202,,0,3,-38,069-2G,21,187.7546155075939,196.11171303308092,069-5G,2026-05-30T21:55:50.479Z,0.0,0,8.018
2026-05-30 21:56:44.525000+00:00,149,-38,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) play,1,2.0,0.0003688760337063023,1448,47.013,4.986666666666667,19.868000000000002,433,sala,cc:0d:f2:26:b1:f7,0,5ghz,35660,330.359,-92,3,238583950,2,6465238,216015,433.3,-51,-51,41,438815865,9339551,673,323274,390.0,673,,0,3,-27,069-2G,22,329.60637312537494,178.34130576540755,069-5G,2026-05-30T21:56:48.342Z,0.0,0,6.63
2026-05-30 21:59:26.139000+00:00,149,-30,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,1,2.0,0.0,0,2.449,1.1844444444444444,2.9939999999999998,702,sala,c0:b5:d7:1a:c1:a1,0,5ghz,35850,619.0,-92,2,107557148,0,1851677,146240,866.7,-49,-42,43,837184031,8832834,3004,558866,780.0,3003,4,0,3,-24,069-2G,44,638.0844357290504,75.76791684930937,069-5G,2026-05-30T21:59:58.377Z,0.0,0,1.769
2026-05-30 22:00:52.451000+00:00,149,-30,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,2,2.0,0.6586189313399007,1959680,3.078,58.06044444444444,95.6913,234,sala,80:38:fb:61:54:f9,0,5ghz,2,619.0,-92,2,519938,0,14720,389,780.0,-42,-42,50,9175,14000,0,97,780.0,0,4,1,3,-22,069-2G,28,234.99507973761567,61.35128039223472,069-5G,2026-05-30T22:01:23.271Z,0.0,0,1.973
2026-05-30 22:01:07.985000+00:00,149,-25,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) plus,1,2.0,0.0012329402955814281,4344,49.378,7.435555555555556,18.028999999999996,433,sala,08:aa:55:1d:45:66,0,5ghz,17220,330.359,-92,2,113797788,1,3523199,113459,433.3,-45,-46,48,384978889,7958840,983,269336,390.0,983,,0,3,-38,069-2G,21,290.8810808434096,84.21584713375796,069-5G,2026-05-30T22:01:11.181Z,0.0,0,7.296
2026-05-30 22:02:05.136000+00:00,149,-41,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) play,1,2.0,0.0003765616228948801,1448,47.404,6.634444444444444,17.612000000000002,433,sala,cc:0d:f2:26:b1:f7,0,5ghz,35981,330.359,-92,3,279907486,2,7142001,242807,433.3,-51,-52,41,432882739,9128953,726,326298,390.0,726,,0,3,-27,069-2G,22,325.3478512594962,209.90298597154512,069-5G,2026-05-30T22:02:08.853Z,0.0,0,8.093
2026-05-30 22:04:55.019000+00:00,149,-39,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,1,2.0,0.0,0,2.076,0.3811111111111112,3.44,650,sala,c0:b5:d7:1a:c1:a1,0,5ghz,36178,619.0,-92,4,107743588,0,1814917,146619,866.7,-50,-41,42,839426792,8734542,1451,560637,780.0,1451,4,0,3,-26,069-2G,41,637.7197563331339,76.17810051870792,069-5G,2026-05-30T22:05:26.991Z,0.04314507016210219,21,2.098
2026-05-30 22:06:19.925000+00:00,149,-25,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,2,2.0,0.0011399467966046466,2896,2.012,8.342555555555554,9.5072,234,sala,80:38:fb:61:54:f9,0,5ghz,14,619.0,-92,4,271769720,0,5592566,180376,780.0,-41,-39,51,6998904,2036460,110,35515,780.0,110,4,1,3,-17,069-2G,30,154.08374459275572,205.5011321644618,069-5G,2026-05-30T22:06:50.982Z,0.05651846269781462,21,1.58
2026-05-30 22:06:28.608000+00:00,149,-29,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) plus,1,2.0,0.0007514085589337206,2896,31.901,7.57888888888889,16.946,433,sala,08:aa:55:1d:45:66,0,5ghz,17541,330.359,-92,2,173979123,2,4501690,156289,433.3,-47,-47,44,430519987,8701988,428,307627,390.0,428,,0,3,-45,069-2G,24,324.4768911544228,130.25141607870415,069-5G,2026-05-30T22:06:31.803Z,0.0,0,20.067
2026-05-30 22:07:25.773000+00:00,149,-40,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) play,1,2.0,0.0003660097243728383,1448,43.83,5.046666666666667,17.879,433,sala,cc:0d:f2:26:b1:f7,0,5ghz,36302,330.359,-92,2,273261316,1,6992873,238746,433.3,-51,-51,41,436983481,9156132,326,327072,390.0,326,,0,3,-27,069-2G,22,328.7676800639872,204.65102494285998,069-5G,2026-05-30T22:07:29.454Z,0.0,0,9.052
2026-05-30 22:10:23.789000+00:00,149,-34,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,1,2.0,0.0,0,2.492,3.2300000000000004,5.57,650,sala,c0:b5:d7:1a:c1:a1,0,5ghz,36507,619.0,-92,3,104121847,0,1912852,129525,780.0,-50,-45,42,691338525,8940296,21885,462985,780.0,21885,4,0,3,-24,069-2G,39,523.5628077412533,74.83452841709921,069-5G,2026-05-30T22:10:56.098Z,0.0,0,2.329
2026-05-30 22:11:47.599000+00:00,149,-22,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,1,2.0,0.0,0,,4.131666666666667,4.4216,234,sala,80:38:fb:61:54:f9,0,5ghz,2,25.343,-92,3,0,0,0,0,468.0,-38,-38,54,0,0,0,0,29.3,0,4,0,3,-22,069-2G,29,0.0,0.0,069-5G,2026-05-30T22:12:04.824Z,0.0,0,
2026-05-30 22:11:49.277000+00:00,149,-31,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) plus,1,2.0,0.0007391735249769338,2896,39.175,5.117777777777777,15.772,433,sala,08:aa:55:1d:45:66,0,5ghz,17862,330.359,-92,1,340201073,2,8177403,274464,433.3,-53,-54,39,429262894,8877727,262,329961,390.0,262,,0,3,-45,069-2G,24,321.02686490807355,255.98450338510554,069-5G,2026-05-30T22:11:52.436Z,0.0,0,9.605
2026-05-30 22:12:46.409000+00:00,149,-34,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) play,1,2.0,0.00078478218034559,2896,39.796,5.797777777777778,17.391,433,sala,cc:0d:f2:26:b1:f7,0,5ghz,36622,330.359,-92,2,240002151,1,6491196,216495,433.3,-50,-51,42,428186211,9378222,3179,317226,390.0,3179,,0,3,-27,069-2G,22,321.1873302009397,179.77677784419208,069-5G,2026-05-30T22:12:50.088Z,0.0,0,6.917
